indie,action,casual,adventure,strategy,simulation,rpg,free_to_play,cluster,color
0,3,0,0,0,0,0,1,0,red
77,76,15,34,19,14,17,3,2,peru
13,21,2,17,2,1,16,3,1,dodgerblue
0,4,0,1,0,0,0,1,0,red
1,10,0,2,1,0,2,2,0,red
0,2,0,0,0,0,0,1,0,red
5,5,0,3,0,0,3,0,0,red
1,2,0,1,0,0,1,1,0,red
0,6,0,1,0,1,1,0,0,red
6,6,0,2,10,11,7,1,1,dodgerblue
13,15,4,11,4,2,7,1,1,dodgerblue
0,2,0,0,0,0,0,0,0,red
6,8,0,5,0,2,4,0,0,red
0,2,0,0,0,0,0,0,0,red
11,22,3,7,3,2,4,4,1,dodgerblue
20,17,4,10,4,4,15,2,1,dodgerblue
12,8,2,5,14,8,6,1,1,dodgerblue
0,3,0,1,0,0,2,0,0,red
0,3,0,0,0,0,0,1,0,red
0,0,0,0,1,0,1,0,0,red
0,1,0,0,1,0,0,0,0,red
0,2,0,0,0,0,0,1,0,red
28,25,3,22,7,8,11,0,1,dodgerblue
33,49,7,22,12,8,17,8,1,dodgerblue
6,14,1,2,3,4,4,9,0,red
0,3,0,2,0,0,2,0,0,red
3,11,0,4,2,2,2,2,0,red
39,67,5,27,15,11,30,24,2,peru
9,18,0,12,5,4,5,1,1,dodgerblue
12,14,1,5,5,2,6,2,0,red
0,4,0,0,1,1,1,0,0,red
1,8,0,6,0,0,0,1,0,red
0,3,0,0,1,0,0,3,0,red
1,7,0,3,2,3,3,2,0,red
2,5,0,1,0,1,2,1,0,red
0,2,0,0,1,0,1,1,0,red
11,18,0,3,12,12,3,7,1,dodgerblue
0,1,0,0,1,0,1,1,0,red
8,13,0,2,3,6,4,6,0,red
1,3,0,1,0,0,1,1,0,red
3,9,0,3,3,3,2,1,0,red
0,1,0,1,0,0,1,0,0,red
32,50,2,23,5,2,12,2,1,dodgerblue
5,15,0,6,6,1,6,3,0,red
0,7,0,0,1,0,0,2,0,red
0,2,0,0,0,0,0,1,0,red
1,4,0,1,3,1,0,2,0,red
0,2,0,2,2,1,0,0,0,red
0,4,0,2,0,0,1,0,0,red
10,16,3,6,5,7,3,2,1,dodgerblue
6,7,1,5,3,5,5,2,0,red
4,8,1,4,1,1,4,4,0,red
7,17,1,5,2,4,3,5,0,red
0,3,0,0,0,0,0,0,0,red
0,2,0,0,0,0,0,1,0,red
55,61,18,23,11,3,23,19,2,peru
3,5,0,1,8,12,2,3,0,red
11,16,4,10,1,1,13,11,1,dodgerblue
1,2,0,1,2,1,1,1,0,red
0,3,0,1,0,0,2,0,0,red
3,5,1,2,4,3,2,1,0,red
3,6,1,3,5,4,4,1,0,red
6,7,3,2,3,0,0,3,0,red
1,2,1,1,1,0,0,2,0,red
33,31,8,20,16,18,8,5,1,dodgerblue
4,4,0,2,1,2,3,0,0,red
5,6,2,4,2,1,2,0,0,red
3,10,0,0,2,3,2,11,0,red
4,15,1,5,4,0,7,2,0,red
0,2,0,0,0,0,0,1,0,red
0,2,0,0,0,1,3,0,0,red
1,4,0,1,2,1,1,1,0,red
3,7,1,4,0,1,0,1,0,red
2,5,1,2,1,1,3,5,0,red
3,14,1,5,1,1,4,4,0,red
0,6,0,2,0,0,2,1,0,red
0,4,0,0,0,0,0,0,0,red
3,13,0,4,1,3,1,3,0,red
8,19,1,4,12,4,7,4,1,dodgerblue
3,6,1,2,2,2,1,2,0,red
0,2,0,0,0,0,0,1,0,red
2,8,0,7,0,0,5,0,0,red
13,14,4,12,11,14,5,1,1,dodgerblue
1,2,1,1,0,0,1,1,0,red
1,22,2,6,2,1,2,4,0,red
7,11,0,2,5,1,4,1,0,red
7,9,0,4,0,1,6,6,0,red
5,9,4,3,3,2,2,7,0,red
22,27,3,14,4,1,13,4,1,dodgerblue
0,3,0,0,0,0,0,0,0,red
1,4,1,2,1,0,0,3,0,red
8,3,2,3,2,0,2,0,0,red
15,36,2,17,3,3,12,13,1,dodgerblue
14,38,2,11,7,5,15,14,1,dodgerblue
0,6,0,1,0,0,0,0,0,red
0,2,0,0,0,0,0,0,0,red
4,14,1,4,1,1,7,5,0,red
41,19,13,30,11,8,10,2,1,dodgerblue
1,4,0,1,0,0,1,0,0,red
17,24,5,9,5,7,9,20,1,dodgerblue
1,2,0,1,0,1,0,0,0,red
3,23,1,11,2,2,5,4,1,dodgerblue
0,2,0,0,0,0,0,1,0,red
10,8,1,11,3,5,4,0,0,red
3,7,2,4,4,4,4,7,0,red
17,35,2,15,14,4,18,7,1,dodgerblue
2,6,2,2,1,1,1,2,0,red
1,6,0,2,2,4,3,6,0,red
0,1,0,0,2,0,0,1,0,red
1,3,1,1,2,1,1,3,0,red
0,5,0,0,1,0,0,1,0,red
4,4,0,0,2,1,2,0,0,red
0,3,0,1,0,0,1,0,0,red
5,11,1,5,2,0,4,1,0,red
0,2,0,1,0,0,0,0,0,red
8,11,3,5,10,9,2,6,1,dodgerblue
1,5,0,1,1,0,0,3,0,red
3,4,0,5,0,0,0,0,0,red
14,31,2,8,12,12,5,5,1,dodgerblue
1,0,8,1,0,0,0,0,0,red
189,169,59,96,80,31,49,8,2,peru
4,15,1,2,2,2,2,7,0,red
0,2,0,0,1,0,0,2,0,red
3,18,1,3,6,3,3,4,0,red
9,5,1,4,4,7,2,1,0,red
9,22,0,10,13,5,11,3,1,dodgerblue
0,2,0,0,0,0,0,0,0,red
3,14,0,4,1,7,0,5,0,red
0,0,0,0,2,0,0,1,0,red
3,5,0,0,1,2,1,3,0,red
0,2,0,0,2,0,0,0,0,red
2,5,0,0,1,1,0,4,0,red
1,2,0,1,1,0,1,1,0,red
7,22,1,8,6,4,6,5,1,dodgerblue
0,3,0,0,1,0,0,2,0,red
1,3,0,0,2,0,0,1,0,red
0,4,0,0,0,0,0,1,0,red
1,5,0,3,0,0,1,0,0,red
1,14,0,3,2,3,0,2,0,red
2,9,1,2,2,2,1,6,0,red
3,4,1,3,0,0,1,1,0,red
1,10,1,5,2,1,6,2,0,red
0,2,0,0,0,0,0,1,0,red
4,8,0,2,2,4,4,4,0,red
3,8,0,1,0,1,4,9,0,red
2,6,1,4,1,0,1,3,0,red
48,52,10,27,10,10,24,6,2,peru
1,2,0,0,0,0,0,1,0,red
15,27,2,11,8,3,7,2,1,dodgerblue
8,8,1,11,2,2,6,0,0,red
36,19,21,16,7,3,4,2,1,dodgerblue
9,11,0,8,9,11,7,2,1,dodgerblue
1,4,0,2,0,0,1,0,0,red
0,2,0,1,0,0,0,0,0,red
1,3,0,1,0,0,0,0,0,red
1,3,0,0,1,1,0,2,0,red
0,2,0,1,0,0,0,1,0,red
8,4,6,0,7,2,6,1,0,red
0,2,0,0,1,0,0,1,0,red
3,2,1,2,4,4,0,0,0,red
18,26,1,9,5,0,11,5,1,dodgerblue
1,9,1,0,1,0,0,1,0,red
69,71,14,32,22,7,19,4,2,peru
2,10,0,4,2,2,2,1,0,red
0,3,0,0,0,0,1,0,0,red
4,5,1,4,1,0,6,1,0,red
1,2,0,0,1,2,0,0,0,red
6,14,1,10,0,1,3,0,0,red
0,11,0,4,1,0,1,2,0,red
2,4,2,2,2,2,2,3,0,red
20,37,3,18,9,10,17,4,1,dodgerblue
7,11,3,5,4,5,7,11,1,dodgerblue
2,5,1,1,2,2,3,0,0,red
1,3,0,1,1,0,1,3,0,red
2,1,0,1,1,2,1,0,0,red
9,7,0,7,7,3,12,1,1,dodgerblue
0,3,0,0,0,0,0,1,0,red
0,2,0,0,0,0,0,0,0,red
1,1,0,1,5,4,0,0,0,red
0,1,0,1,0,0,1,0,0,red
0,2,0,0,0,0,1,1,0,red
14,23,3,10,4,12,3,11,1,dodgerblue
8,15,2,8,4,0,6,3,0,red
12,23,2,6,13,13,6,9,1,dodgerblue
0,2,0,1,0,0,0,0,0,red
0,2,0,0,0,0,0,0,0,red
4,8,1,3,5,5,1,3,0,red
2,4,1,2,1,1,2,3,0,red
2,5,0,3,0,1,3,0,0,red
1,3,1,3,4,1,1,1,0,red
7,15,0,4,3,4,7,4,0,red
17,39,2,17,9,6,12,7,1,dodgerblue
0,4,0,0,0,0,0,1,0,red
11,19,2,5,6,2,12,7,1,dodgerblue
5,6,1,3,0,1,2,2,0,red
1,1,0,0,2,5,0,0,0,red
9,13,2,9,9,5,5,6,1,dodgerblue
2,4,2,2,2,1,1,4,0,red
1,4,0,2,0,0,2,0,0,red
2,4,0,2,0,0,3,2,0,red
3,8,0,1,0,1,1,3,0,red
3,10,1,4,2,0,2,0,0,red
1,7,0,0,0,1,0,1,0,red
0,5,0,1,1,0,3,2,0,red
0,1,0,0,1,0,0,1,0,red
1,2,0,0,0,1,0,0,0,red
6,11,2,6,2,0,3,2,0,red
3,11,0,6,1,1,7,2,0,red
0,2,0,0,1,0,0,1,0,red
25,42,7,20,19,13,18,4,1,dodgerblue
0,4,0,3,2,1,0,0,0,red
2,4,0,2,0,0,2,1,0,red
0,4,0,1,1,0,0,1,0,red
0,3,0,1,0,0,0,0,0,red
11,16,3,6,6,2,7,5,1,dodgerblue
0,2,0,0,0,0,0,0,0,red
2,2,1,0,1,0,2,4,0,red
8,12,0,4,4,2,5,6,0,red
37,50,10,33,6,3,10,1,1,dodgerblue
3,1,1,0,1,0,0,0,0,red
2,4,2,10,0,0,1,0,0,red
26,29,5,15,10,6,10,3,1,dodgerblue
1,2,0,1,0,0,1,0,0,red
1,2,0,1,0,1,0,0,0,red
2,5,1,2,1,0,2,2,0,red
1,1,0,0,4,5,2,1,0,red
7,12,0,1,1,0,2,2,0,red
0,2,0,2,0,0,1,0,0,red
0,2,0,1,0,0,0,0,0,red
4,7,0,1,6,1,3,9,0,red
9,17,0,7,6,4,9,3,1,dodgerblue
20,19,2,15,3,7,7,6,1,dodgerblue
0,13,0,5,0,0,0,0,0,red
1,2,0,1,0,0,2,3,0,red
56,52,13,33,10,6,10,5,2,peru
39,38,4,29,6,8,27,3,1,dodgerblue
0,2,0,1,0,0,2,0,0,red
4,8,0,6,3,8,4,1,0,red
0,5,0,0,1,0,0,1,0,red
2,2,0,0,0,1,0,0,0,red
0,2,0,0,1,0,0,1,0,red
6,11,1,3,0,0,4,1,0,red
5,4,1,3,3,3,4,2,0,red
3,4,0,2,1,2,1,1,0,red
4,8,1,0,0,2,1,3,0,red
0,3,0,0,1,0,0,2,0,red
18,35,4,17,10,1,12,3,1,dodgerblue
2,2,1,1,1,0,1,1,0,red
0,3,0,0,1,0,0,1,0,red
25,28,6,9,12,6,10,13,1,dodgerblue
3,11,0,4,2,3,2,1,0,red
9,16,3,11,3,3,6,7,1,dodgerblue
1,1,0,0,0,1,1,2,0,red
1,3,0,0,1,1,1,0,0,red
0,0,0,1,0,0,1,0,0,red
21,15,6,16,4,4,3,0,1,dodgerblue
0,2,0,0,0,0,0,0,0,red
13,16,1,9,8,6,14,10,1,dodgerblue
0,10,0,4,0,0,2,0,0,red
1,6,1,2,2,0,1,0,0,red
3,6,2,1,3,1,1,7,0,red
38,34,10,29,13,5,25,4,2,peru
1,3,0,0,1,0,1,1,0,red
0,2,0,1,0,0,0,1,0,red
1,3,0,1,0,1,1,2,0,red
0,2,0,0,1,0,0,1,0,red
0,2,0,0,0,0,0,1,0,red
0,4,0,3,1,1,0,0,0,red
0,0,1,2,0,0,3,2,0,red
2,1,0,1,0,5,0,0,0,red
4,9,0,1,2,0,7,0,0,red
6,1,2,1,12,9,4,2,0,red
0,2,0,1,1,0,0,0,0,red
0,2,0,0,1,0,0,1,0,red
0,3,0,1,0,0,0,0,0,red
2,2,1,1,2,1,3,4,0,red
0,2,0,0,0,0,0,0,0,red
8,10,3,2,3,3,8,7,1,dodgerblue
1,6,0,1,2,0,0,2,0,red
17,10,3,7,12,10,5,5,1,dodgerblue
2,6,0,3,0,2,2,2,0,red
8,3,0,2,8,12,4,0,0,red
0,2,0,1,0,0,0,0,0,red
0,5,0,1,1,0,1,2,0,red
0,3,0,0,1,0,0,1,0,red
4,1,1,2,1,1,0,0,0,red
0,2,0,0,0,0,0,1,0,red
4,3,3,1,0,3,2,4,0,red
0,5,0,1,1,0,0,1,0,red
7,10,2,6,2,4,5,2,0,red
18,18,0,9,2,8,7,6,1,dodgerblue
5,10,1,2,5,5,3,3,0,red
0,2,0,0,1,0,0,1,0,red
19,18,5,8,22,5,22,1,1,dodgerblue
0,2,0,1,0,0,1,0,0,red
0,7,0,5,1,0,1,0,0,red
5,9,2,0,6,0,3,2,0,red
17,31,3,13,9,4,10,3,1,dodgerblue
21,54,4,21,7,7,8,12,1,dodgerblue
3,7,1,1,1,0,2,4,0,red
0,3,0,0,0,0,0,0,0,red
1,3,0,0,2,0,2,1,0,red
1,5,0,2,1,0,1,2,0,red
3,4,0,0,4,2,0,1,0,red
1,2,0,1,2,1,2,1,0,red
0,1,0,1,1,0,0,0,0,red
1,5,0,1,2,0,3,2,0,red
14,22,2,9,9,12,8,3,1,dodgerblue
0,2,1,0,1,1,0,0,0,red
0,2,0,0,0,0,0,1,0,red
1,1,1,1,0,0,2,0,0,red
13,21,3,8,8,10,8,5,1,dodgerblue
0,7,0,1,1,0,0,2,0,red
20,26,7,15,7,8,7,4,1,dodgerblue
7,4,0,2,8,3,3,5,0,red
31,25,7,10,7,6,5,1,1,dodgerblue
11,8,6,1,2,1,0,0,0,red
2,5,0,1,2,0,1,3,0,red
2,1,0,1,0,0,1,0,0,red
0,5,0,1,1,0,0,1,0,red
1,8,1,4,2,3,1,6,0,red
0,2,1,1,1,0,1,3,0,red
2,5,0,4,3,1,7,1,0,red
2,5,0,2,1,0,0,1,0,red
6,13,2,5,3,4,5,11,1,dodgerblue
5,6,0,3,1,0,1,0,0,red
1,1,0,0,0,1,1,0,0,red
1,5,0,2,3,1,0,1,0,red
1,9,0,1,2,2,2,7,0,red
1,1,0,0,2,0,1,0,0,red
0,2,0,0,0,0,0,1,0,red
0,2,0,0,0,0,0,0,0,red
0,5,0,1,1,0,0,3,0,red
3,4,0,0,2,3,2,2,0,red
3,4,0,1,0,3,0,2,0,red
1,2,0,0,0,0,0,1,0,red
31,32,8,22,4,7,16,7,1,dodgerblue
3,3,2,2,2,1,3,4,0,red
15,38,1,11,11,5,10,10,1,dodgerblue
2,3,0,1,0,2,0,0,0,red
0,4,0,1,1,0,0,1,0,red
0,2,0,0,1,0,0,2,0,red
0,4,0,1,5,2,2,0,0,red
5,10,1,5,5,6,7,1,0,red
0,3,0,1,1,0,0,2,0,red
2,3,1,1,0,1,0,1,0,red
21,24,1,9,10,8,11,2,1,dodgerblue
15,23,6,5,4,3,8,20,1,dodgerblue
8,17,0,12,1,1,6,3,0,red
2,3,1,3,0,0,1,1,0,red
17,12,5,7,4,2,4,7,1,dodgerblue
3,4,1,3,0,1,1,2,0,red
35,32,7,14,10,2,22,9,1,dodgerblue
1,3,1,1,0,0,0,0,0,red
0,3,0,0,0,0,1,1,0,red
0,1,0,0,1,1,0,1,0,red
11,24,1,10,6,3,8,4,1,dodgerblue
16,29,3,15,6,6,12,7,1,dodgerblue
1,1,0,1,0,0,0,0,0,red
0,2,0,0,1,0,0,1,0,red
15,17,7,15,7,1,12,4,1,dodgerblue
3,3,1,2,1,2,1,0,0,red
16,24,5,15,4,6,6,4,1,dodgerblue
8,24,2,8,9,5,8,7,1,dodgerblue
1,9,1,4,2,0,2,3,0,red
0,3,0,0,0,0,0,0,0,red
0,3,0,0,0,0,0,1,0,red
5,11,1,2,0,1,3,12,0,red
0,2,0,0,0,0,0,1,0,red
0,2,0,1,0,0,0,1,0,red
36,32,9,23,7,7,14,6,1,dodgerblue
0,4,0,0,0,0,1,1,0,red
0,3,0,0,0,0,0,1,0,red
17,27,5,19,4,5,7,7,1,dodgerblue
0,2,0,0,0,0,0,0,0,red
1,3,1,1,1,0,1,2,0,red
3,8,0,3,1,2,2,2,0,red
7,10,2,6,5,1,4,5,0,red
2,6,1,3,1,1,0,3,0,red
1,4,2,1,1,0,0,3,0,red
21,27,4,10,7,4,9,10,1,dodgerblue
5,25,1,12,2,3,8,3,1,dodgerblue
14,30,3,7,4,4,7,9,1,dodgerblue
8,5,2,7,1,0,3,0,0,red
2,2,2,2,1,1,2,3,0,red
3,6,0,1,1,1,2,6,0,red
0,1,1,1,0,0,0,0,0,red
0,2,0,1,1,0,0,1,0,red
2,5,0,0,1,0,0,4,0,red
4,4,0,6,0,1,0,0,0,red
0,2,0,0,0,0,0,1,0,red
2,5,1,2,1,1,1,4,0,red
21,19,4,7,4,7,5,5,1,dodgerblue
4,3,1,3,0,0,4,3,0,red
1,3,0,1,1,0,1,1,0,red
0,3,0,0,0,0,0,1,0,red
0,2,0,0,0,0,0,1,0,red
1,3,0,0,1,0,0,1,0,red
6,10,0,6,4,2,5,2,0,red
0,2,0,0,1,0,0,2,0,red
0,2,0,1,0,0,0,1,0,red
1,2,0,1,0,0,1,1,0,red
2,8,0,2,1,1,1,3,0,red
8,11,2,1,4,4,2,8,0,red
1,3,0,0,1,2,0,3,0,red
0,3,0,2,1,0,0,1,0,red
22,31,3,13,8,2,11,6,1,dodgerblue
0,2,0,0,1,0,0,2,0,red
8,11,2,6,1,2,4,2,0,red
0,2,0,0,1,0,0,2,0,red
3,8,1,3,2,0,1,4,0,red
0,3,0,0,0,0,0,2,0,red
3,8,2,4,2,1,1,3,0,red
1,1,0,1,0,0,0,0,0,red
0,2,0,0,0,0,0,1,0,red
0,2,0,0,0,0,0,1,0,red
0,2,0,1,0,0,0,0,0,red
37,18,7,17,25,16,22,7,2,peru
5,8,0,2,3,3,0,3,0,red
2,3,0,2,4,3,1,1,0,red
0,2,0,0,0,0,0,0,0,red
1,1,0,0,0,1,0,0,0,red
11,7,4,6,4,1,4,0,0,red
4,6,1,3,1,3,1,3,0,red
1,4,0,2,0,2,1,1,0,red
7,8,2,3,2,2,4,3,0,red
3,14,0,10,0,1,3,1,0,red
0,3,0,0,0,0,0,2,0,red
4,8,1,4,1,2,2,5,0,red
23,28,5,10,10,7,7,6,1,dodgerblue
0,2,0,0,1,1,0,1,0,red
0,4,0,0,1,0,0,2,0,red
3,7,1,4,4,2,2,0,0,red
1,6,1,1,1,0,1,3,0,red
2,3,0,1,2,1,2,4,0,red
1,3,0,1,0,1,0,1,0,red
3,6,0,2,2,1,2,1,0,red
3,5,1,1,0,1,1,5,0,red
11,23,4,11,8,8,5,3,1,dodgerblue
57,67,10,28,25,20,26,22,2,peru
0,3,0,0,0,0,0,0,0,red
1,10,0,5,0,1,2,2,0,red
7,12,0,3,2,0,3,2,0,red
6,6,4,4,3,0,5,2,0,red
0,2,0,2,1,0,0,1,0,red
12,11,5,10,5,7,4,4,1,dodgerblue
7,6,2,2,2,3,2,4,0,red
0,0,0,0,3,2,1,0,0,red
60,41,9,19,52,31,26,3,2,peru
0,2,0,0,1,0,0,2,0,red
10,28,2,9,5,5,4,6,1,dodgerblue
11,10,2,4,2,5,5,5,0,red
1,2,0,1,0,0,1,0,0,red
1,2,1,2,0,0,0,1,0,red
1,2,0,1,0,0,1,1,0,red
0,2,0,0,1,0,0,1,0,red
16,20,2,11,5,4,10,5,1,dodgerblue
5,7,1,2,2,2,3,4,0,red
1,3,0,0,1,0,1,3,0,red
1,3,1,2,1,0,2,3,0,red
13,19,3,7,6,5,7,6,1,dodgerblue
0,2,0,0,0,0,1,1,0,red
6,18,1,10,4,6,5,6,1,dodgerblue
5,13,1,3,5,2,2,3,0,red
0,2,0,0,2,1,0,1,0,red
4,9,0,1,3,2,3,4,0,red
5,25,0,14,4,0,9,3,1,dodgerblue
0,1,0,0,0,0,1,0,0,red
0,2,0,0,0,0,0,0,0,red
2,3,1,1,1,1,0,0,0,red
0,3,0,0,0,0,0,1,0,red
8,9,4,5,3,3,8,0,0,red
13,35,5,9,5,1,5,4,1,dodgerblue
0,0,0,0,0,1,0,0,0,red
0,4,0,0,2,0,0,2,0,red
0,2,0,0,0,0,0,0,0,red
5,13,2,5,2,0,6,10,1,dodgerblue
4,10,2,3,2,0,4,4,0,red
1,3,0,0,1,0,1,1,0,red
25,25,5,16,10,8,10,2,1,dodgerblue
0,2,0,0,0,0,0,1,0,red
0,4,0,2,2,2,1,0,0,red
0,2,0,1,1,1,0,0,0,red
1,2,0,0,1,0,0,2,0,red
2,10,1,3,3,2,3,6,0,red
0,2,0,0,0,0,1,0,0,red
8,9,3,6,1,0,2,8,0,red
0,2,0,1,0,0,1,1,0,red
21,28,4,17,11,3,17,5,1,dodgerblue
0,2,0,0,0,0,1,1,0,red
6,9,2,3,1,4,3,4,0,red
0,2,0,0,0,0,0,1,0,red
4,6,1,1,0,1,0,1,0,red
2,4,0,0,0,0,0,4,0,red
4,6,3,4,1,2,5,6,0,red
12,17,4,7,4,6,6,15,1,dodgerblue
7,8,2,5,1,1,2,3,0,red
0,4,0,2,0,0,1,0,0,red
2,2,1,0,1,0,2,0,0,red
0,4,0,0,0,0,1,0,0,red
3,2,2,2,1,1,2,3,0,red
17,22,3,6,4,4,9,14,1,dodgerblue
0,2,0,0,0,0,1,1,0,red
3,6,0,2,1,3,1,1,0,red
2,7,0,3,0,0,2,0,0,red
6,12,2,5,3,1,5,4,0,red
0,0,0,0,1,0,0,0,0,red
0,2,0,1,0,0,0,0,0,red
21,35,5,18,8,8,20,13,1,dodgerblue
2,4,0,0,1,1,1,1,0,red
0,1,0,0,0,0,0,1,0,red
0,2,0,1,3,3,1,1,0,red
2,6,0,3,3,1,2,2,0,red
0,3,0,0,0,0,0,1,0,red
0,2,0,1,0,0,1,2,0,red
3,7,0,3,1,0,3,1,0,red
1,0,0,1,0,0,2,0,0,red
1,2,0,0,1,0,1,1,0,red
12,16,3,5,6,1,11,4,1,dodgerblue
2,5,0,1,3,1,3,1,0,red
2,1,0,0,0,1,0,1,0,red
0,2,0,1,0,0,1,0,0,red
1,8,0,5,1,0,1,1,0,red
17,21,8,10,5,2,12,12,1,dodgerblue
0,2,0,0,1,0,0,2,0,red
2,2,1,1,0,0,0,1,0,red
1,0,0,0,1,1,0,0,0,red
0,1,0,0,1,2,0,0,0,red
0,2,0,1,1,0,0,0,0,red
4,2,1,1,1,3,1,0,0,red
2,3,0,1,1,1,3,0,0,red
6,7,1,7,5,3,8,1,0,red
