indie,action,casual,adventure,strategy,simulation,rpg,free_to_play,cluster,color
12,14,2,8,10,10,6,3,1,dodgerblue
0,2,0,1,1,0,3,4,0,red
0,1,0,1,1,1,0,0,0,red
0,2,0,1,1,0,2,1,0,red
3,6,2,4,3,1,0,1,0,red
23,28,8,22,6,7,12,8,1,dodgerblue
1,8,3,5,2,0,1,4,0,red
7,6,0,1,11,8,2,2,0,red
10,15,6,7,3,6,7,7,1,dodgerblue
1,2,0,0,1,0,1,1,0,red
1,2,0,1,0,0,1,0,0,red
1,3,0,1,0,0,2,1,0,red
41,40,11,18,15,9,13,2,1,dodgerblue
0,2,0,0,0,0,0,1,0,red
6,6,1,6,1,2,3,2,0,red
2,2,1,1,0,0,2,1,0,red
4,3,0,3,6,6,2,1,0,red
1,3,0,1,0,0,1,1,0,red
2,6,1,3,1,1,2,1,0,red
2,4,0,1,1,1,1,2,0,red
15,31,6,18,5,4,7,14,1,dodgerblue
0,5,1,1,2,0,0,3,0,red
1,9,0,1,0,1,3,3,0,red
6,9,2,6,1,1,3,5,0,red
1,2,0,2,1,1,1,2,0,red
1,2,0,1,0,0,0,1,0,red
0,2,0,0,1,0,0,2,0,red
15,19,6,10,1,2,6,14,1,dodgerblue
0,2,0,0,0,0,2,0,0,red
1,0,0,0,0,0,1,1,0,red
4,7,2,3,0,0,1,3,0,red
1,5,0,0,2,1,2,7,0,red
9,10,2,5,4,4,6,3,0,red
3,9,0,6,9,4,5,3,0,red
0,3,0,0,1,0,0,1,0,red
0,2,0,1,0,0,0,0,0,red
1,3,0,2,2,2,1,1,0,red
0,2,0,0,0,0,0,2,0,red
4,4,0,2,0,1,1,2,0,red
0,0,0,0,0,1,0,0,0,red
13,13,5,18,5,3,9,6,1,dodgerblue
8,13,3,7,5,6,6,8,1,dodgerblue
0,1,0,1,1,0,0,0,0,red
1,3,1,1,1,0,1,3,0,red
6,3,2,4,1,4,1,1,0,red
1,3,0,1,0,1,0,1,0,red
0,2,0,0,0,0,0,1,0,red
0,2,0,1,0,0,0,0,0,red
0,2,0,0,1,0,0,2,0,red
2,4,0,0,2,1,1,2,0,red
0,1,0,0,0,1,0,0,0,red
9,24,0,8,2,3,4,8,1,dodgerblue
1,2,0,1,0,0,1,1,0,red
1,2,0,1,1,1,2,0,0,red
0,0,0,0,2,1,0,0,0,red
0,2,0,2,0,0,0,0,0,red
7,13,1,4,3,2,3,4,0,red
5,4,1,4,2,3,2,0,0,red
11,13,5,4,7,4,6,16,1,dodgerblue
0,8,0,5,2,2,0,0,0,red
2,3,0,1,2,1,4,0,0,red
0,2,0,0,1,0,0,2,0,red
1,6,0,3,1,0,2,1,0,red
4,8,1,5,1,0,2,1,0,red
7,17,2,8,4,4,2,6,1,dodgerblue
9,4,2,4,2,4,2,1,0,red
1,4,0,0,1,2,1,4,0,red
1,1,0,1,5,3,1,0,0,red
3,1,1,2,2,0,1,0,0,red
1,6,0,2,5,4,0,2,0,red
0,2,0,0,1,0,0,2,0,red
0,2,0,0,0,0,0,0,0,red
0,3,0,1,0,0,0,0,0,red
0,3,0,0,0,0,0,0,0,red
0,1,0,0,0,0,0,1,0,red
6,8,4,4,2,0,6,11,1,dodgerblue
2,8,0,4,2,1,3,2,0,red
30,33,2,13,13,17,9,10,1,dodgerblue
0,2,0,1,0,0,0,1,0,red
1,1,1,1,1,0,0,2,0,red
5,9,1,5,2,2,2,5,0,red
12,24,1,15,1,3,7,3,1,dodgerblue
1,2,0,1,0,1,0,0,0,red
0,3,0,2,0,0,1,0,0,red
1,3,0,1,0,0,1,1,0,red
0,3,0,0,0,0,0,0,0,red
3,13,1,7,1,0,1,4,0,red
2,7,0,0,4,1,1,4,0,red
11,10,4,2,4,0,1,2,0,red
0,3,0,0,1,0,0,2,0,red
10,15,3,5,3,5,6,7,1,dodgerblue
0,2,0,0,1,0,0,2,0,red
3,5,1,2,1,0,1,4,0,red
6,3,3,2,2,2,2,1,0,red
0,3,0,1,1,0,0,2,0,red
2,4,0,0,1,1,0,3,0,red
1,2,0,0,1,0,0,1,0,red
1,3,0,2,0,0,1,0,0,red
0,2,0,0,1,0,0,1,0,red
8,11,2,6,3,0,5,8,0,red
0,5,0,2,0,0,1,1,0,red
6,13,3,4,1,2,3,9,0,red
2,2,0,2,1,1,2,0,0,red
12,22,1,6,6,5,9,4,1,dodgerblue
1,0,1,1,3,3,0,0,0,red
1,2,0,2,1,1,2,0,0,red
4,39,0,16,4,3,4,2,1,dodgerblue
1,3,0,0,1,0,2,2,0,red
1,14,0,5,1,1,1,4,0,red
2,6,2,3,3,1,2,6,0,red
3,6,0,2,2,2,1,3,0,red
0,2,0,1,0,0,0,0,0,red
0,3,0,0,1,0,0,1,0,red
36,47,16,25,14,12,19,24,2,peru
7,9,4,5,4,3,7,14,1,dodgerblue
0,3,0,0,0,0,0,1,0,red
3,3,0,2,0,0,1,1,0,red
1,0,1,1,2,1,1,2,0,red
4,8,2,2,2,1,0,9,0,red
4,6,1,1,0,3,1,6,0,red
4,4,1,4,0,2,3,2,0,red
2,9,0,3,4,3,1,2,0,red
0,2,0,0,0,0,0,0,0,red
0,2,0,2,1,0,1,2,0,red
3,7,1,3,2,2,2,3,0,red
13,22,5,8,0,1,9,17,1,dodgerblue
2,2,1,2,0,0,1,1,0,red
8,6,1,6,3,2,4,2,0,red
0,1,0,1,0,0,2,2,0,red
0,5,0,1,0,0,0,0,0,red
0,2,0,1,1,0,2,2,0,red
7,17,1,4,4,9,3,8,1,dodgerblue
1,3,1,2,1,0,2,2,0,red
5,8,4,5,1,2,3,9,0,red
0,4,0,1,0,0,0,0,0,red
8,10,3,5,2,2,5,8,1,dodgerblue
0,4,0,0,1,0,0,2,0,red
1,4,0,2,0,1,0,0,0,red
1,5,1,5,1,0,5,0,0,red
5,7,1,5,2,0,5,2,0,red
7,9,2,3,3,3,5,10,1,dodgerblue
1,6,0,2,0,2,2,5,0,red
1,5,0,3,1,1,1,0,0,red
1,2,0,0,2,0,0,1,0,red
1,3,0,0,4,0,2,0,0,red
1,1,1,1,2,1,1,2,0,red
0,2,0,0,1,1,1,0,0,red
7,16,2,7,2,2,9,13,1,dodgerblue
35,29,10,22,8,12,7,6,1,dodgerblue
6,16,0,6,1,1,7,2,0,red
9,22,3,13,3,6,4,9,1,dodgerblue
23,16,5,18,9,11,10,1,1,dodgerblue
17,21,5,12,9,9,9,5,1,dodgerblue
6,13,3,7,3,2,7,7,1,dodgerblue
0,3,0,1,0,0,0,0,0,red
2,4,1,6,3,1,1,0,0,red
1,2,0,0,0,0,1,2,0,red
4,9,0,2,1,0,1,5,0,red
0,1,0,1,1,0,2,3,0,red
5,4,1,2,5,5,8,8,1,dodgerblue
4,7,3,4,1,2,6,8,0,red
2,6,1,3,1,0,3,5,0,red
8,10,4,5,3,2,5,5,0,red
0,2,0,0,1,2,0,3,0,red
1,2,0,3,1,1,1,0,0,red
32,35,9,14,6,6,13,19,1,dodgerblue
0,2,0,0,1,0,0,2,0,red
4,5,0,3,0,1,4,0,0,red
6,12,1,6,1,1,3,6,0,red
0,2,0,0,1,0,0,1,0,red
4,18,4,7,2,4,2,4,0,red
3,11,1,6,1,0,2,2,0,red
0,3,0,1,0,0,0,1,0,red
4,10,1,1,5,2,2,4,0,red
0,3,0,0,2,1,1,2,0,red
0,2,0,0,1,0,0,2,0,red
1,7,0,3,0,0,3,1,0,red
16,24,3,8,4,3,16,24,1,dodgerblue
2,1,0,3,0,0,0,0,0,red
35,31,15,18,6,7,15,21,1,dodgerblue
1,2,0,0,0,0,1,2,0,red
1,4,0,2,2,1,0,2,0,red
0,3,0,2,0,0,0,0,0,red
3,3,2,2,4,0,2,1,0,red
1,0,0,2,2,1,2,1,0,red
10,9,5,3,4,4,4,5,1,dodgerblue
4,6,0,1,3,3,4,1,0,red
0,2,0,0,1,1,0,2,0,red
1,4,0,0,1,0,0,2,0,red
5,13,0,3,3,5,9,9,1,dodgerblue
1,6,0,0,2,0,1,4,0,red
9,15,2,8,5,4,5,4,1,dodgerblue
0,2,0,0,0,0,0,1,0,red
1,3,0,0,1,0,0,2,0,red
5,9,1,1,3,1,0,7,0,red
0,2,0,0,1,0,0,2,0,red
11,18,0,5,9,9,6,4,1,dodgerblue
25,23,2,14,13,26,11,6,1,dodgerblue
1,4,1,1,0,0,1,3,0,red
37,30,11,16,16,23,18,6,2,peru
2,7,0,1,3,0,4,3,0,red
4,6,1,3,2,4,1,1,0,red
2,4,0,1,1,2,0,2,0,red
6,11,2,6,1,2,6,2,0,red
2,5,0,2,1,1,1,3,0,red
23,12,2,5,16,11,7,7,1,dodgerblue
1,3,0,0,1,1,0,2,0,red
2,4,0,0,3,0,0,2,0,red
0,0,0,0,1,3,0,0,0,red
17,32,2,10,5,6,6,11,1,dodgerblue
6,11,2,4,2,1,1,8,0,red
2,1,1,0,0,0,0,0,0,red
1,2,0,2,0,0,1,0,0,red
7,7,7,4,2,1,3,1,0,red
2,4,1,1,2,0,1,4,0,red
0,3,0,0,1,0,0,2,0,red
0,3,0,1,1,0,0,2,0,red
6,14,2,6,1,2,1,2,0,red
12,22,1,6,2,1,3,8,1,dodgerblue
9,9,2,6,6,2,5,1,0,red
0,2,0,0,2,1,0,1,0,red
3,10,1,3,0,2,1,3,0,red
2,3,1,2,0,0,0,2,0,red
14,9,4,4,9,13,5,5,1,dodgerblue
7,10,0,4,2,2,2,1,0,red
2,4,1,2,1,1,1,2,0,red
0,3,0,1,1,0,1,3,0,red
1,1,0,1,0,0,0,0,0,red
3,5,1,1,0,1,1,6,0,red
1,5,1,1,1,0,0,4,0,red
1,2,0,1,0,0,1,1,0,red
3,16,1,6,3,3,2,4,0,red
0,4,0,3,0,0,0,1,0,red
1,9,0,4,0,0,1,0,0,red
0,2,0,0,0,0,1,0,0,red
21,14,4,6,5,4,7,10,1,dodgerblue
0,2,0,0,1,0,0,2,0,red
2,6,0,4,4,0,1,1,0,red
9,9,2,4,2,5,4,6,0,red
1,3,0,1,0,0,1,3,0,red
3,10,1,1,1,3,7,1,0,red
0,2,0,0,1,0,0,2,0,red
0,0,0,1,0,0,1,1,0,red
1,5,1,1,0,0,0,2,0,red
9,17,2,7,4,4,4,4,1,dodgerblue
5,9,2,2,1,4,3,5,0,red
11,20,1,9,6,5,8,7,1,dodgerblue
0,1,0,0,1,0,2,0,0,red
13,16,4,9,7,8,6,9,1,dodgerblue
2,2,1,1,2,1,1,1,0,red
1,2,1,2,0,0,1,1,0,red
5,2,0,1,0,6,0,2,0,red
0,6,0,1,1,0,2,3,0,red
0,2,0,0,0,0,1,0,0,red
9,4,3,4,1,2,3,1,0,red
2,2,0,1,0,0,0,1,0,red
2,4,0,3,2,3,7,1,0,red
2,3,0,1,2,0,1,1,0,red
1,5,0,1,2,2,1,1,0,red
3,6,1,1,2,1,1,1,0,red
6,11,1,5,4,2,4,2,0,red
1,4,1,1,1,0,0,3,0,red
0,2,0,0,1,0,0,2,0,red
1,2,0,0,0,0,0,2,0,red
0,2,0,0,1,0,0,2,0,red
1,1,1,0,0,1,0,1,0,red
2,6,1,2,0,1,0,1,0,red
4,4,0,2,1,2,2,1,0,red
2,0,0,0,2,2,0,0,0,red
1,2,0,0,0,0,0,2,0,red
0,3,0,0,2,0,0,1,0,red
1,4,0,1,0,1,0,0,0,red
0,2,0,0,1,0,0,2,0,red
0,3,0,1,0,0,0,1,0,red
2,10,0,5,3,1,3,2,0,red
0,2,0,1,0,0,0,0,0,red
0,3,0,1,0,0,0,1,0,red
0,3,0,1,0,0,0,1,0,red
6,18,1,8,4,3,8,8,1,dodgerblue
0,2,0,0,1,0,1,2,0,red
3,7,1,3,2,2,1,3,0,red
2,2,0,0,1,1,0,2,0,red
0,2,1,0,0,1,0,2,0,red
12,25,3,11,5,2,8,5,1,dodgerblue
6,11,3,5,2,1,5,8,0,red
2,2,0,1,2,0,1,0,0,red
5,8,0,6,1,0,4,1,0,red
2,1,2,3,0,0,1,0,0,red
12,20,3,7,4,6,5,7,1,dodgerblue
0,3,0,1,1,1,1,1,0,red
1,2,1,1,1,1,1,1,0,red
0,2,0,0,1,0,0,2,0,red
4,10,0,2,2,2,1,4,0,red
6,11,2,2,2,3,1,5,0,red
3,7,0,1,1,1,2,2,0,red
12,19,5,7,4,7,9,15,1,dodgerblue
5,5,1,4,1,1,5,4,0,red
2,10,1,5,4,5,2,4,0,red
1,8,0,5,2,0,1,1,0,red
6,8,4,3,4,0,1,3,0,red
0,2,0,0,0,0,0,0,0,red
1,1,0,0,2,0,0,0,0,red
4,15,0,7,3,0,9,8,1,dodgerblue
31,35,4,18,7,16,20,13,1,dodgerblue
0,3,0,0,1,0,0,1,0,red
7,14,3,3,2,2,2,9,0,red
2,8,0,3,1,2,2,0,0,red
0,3,0,0,1,0,2,1,0,red
0,2,0,2,0,0,0,0,0,red
7,12,0,7,2,3,5,3,0,red
0,5,0,1,0,0,0,0,0,red
0,2,0,0,0,0,0,1,0,red
4,12,2,4,2,4,2,7,0,red
3,6,0,1,1,1,0,3,0,red
0,2,0,0,0,0,0,0,0,red
1,3,0,0,1,0,0,3,0,red
0,2,0,0,2,0,0,3,0,red
2,3,0,1,1,2,0,2,0,red
0,5,0,1,0,0,0,1,0,red
1,5,0,1,1,0,2,2,0,red
3,5,1,4,0,3,2,1,0,red
2,6,1,2,1,1,2,4,0,red
7,13,2,4,9,5,5,12,1,dodgerblue
1,3,1,1,0,0,0,1,0,red
6,11,2,6,2,2,6,7,0,red
1,1,1,0,1,2,0,2,0,red
6,9,3,5,2,3,2,5,0,red
0,5,0,2,2,1,1,1,0,red
2,4,0,1,1,0,0,1,0,red
0,3,0,0,0,0,2,0,0,red
1,2,0,0,1,0,0,2,0,red
0,1,0,0,1,0,0,1,0,red
8,9,0,4,3,2,7,3,0,red
7,13,2,6,1,5,4,5,0,red
2,0,0,0,3,0,1,0,0,red
14,13,6,8,3,5,8,7,1,dodgerblue
3,2,0,2,0,2,1,1,0,red
29,40,6,19,6,10,6,8,1,dodgerblue
0,2,0,0,1,0,0,2,0,red
1,2,0,0,1,0,0,2,0,red
3,12,0,6,2,1,4,2,0,red
4,6,1,0,4,1,4,3,0,red
2,1,0,1,0,0,1,0,0,red
0,3,0,0,1,0,0,2,0,red
0,2,0,0,0,0,0,0,0,red
2,5,0,0,1,1,0,3,0,red
2,5,0,0,1,0,0,4,0,red
0,2,0,0,1,1,0,1,0,red
6,5,3,3,1,3,1,3,0,red
0,2,0,0,1,0,0,2,0,red
0,3,0,0,1,0,0,2,0,red
9,5,3,4,2,5,1,3,0,red
4,3,0,2,1,5,2,3,0,red
0,3,0,1,1,0,0,1,0,red
5,14,0,4,4,4,4,5,0,red
5,12,1,5,2,2,3,4,0,red
1,2,0,0,2,0,1,1,0,red
11,18,3,5,5,3,7,14,1,dodgerblue
2,1,1,0,0,1,1,2,0,red
1,1,1,0,2,1,1,1,0,red
5,11,0,4,0,1,1,4,0,red
1,3,0,0,1,0,0,2,0,red
4,6,0,2,1,0,1,1,0,red
0,2,0,1,1,0,0,1,0,red
0,2,1,1,0,0,0,0,0,red
2,4,1,1,1,0,1,4,0,red
2,4,0,0,0,0,0,4,0,red
20,29,4,12,9,6,7,3,1,dodgerblue
4,6,0,2,1,0,0,1,0,red
0,3,0,2,0,0,0,0,0,red
0,8,0,4,0,0,2,0,0,red
0,2,0,0,1,0,0,1,0,red
0,2,0,0,1,0,0,2,0,red
0,2,0,2,0,1,0,0,0,red
5,9,1,2,1,3,1,4,0,red
2,3,1,2,5,2,3,3,0,red
28,39,1,20,6,3,17,2,1,dodgerblue
3,6,0,4,2,1,1,0,0,red
0,2,0,0,1,0,1,1,0,red
57,68,11,58,19,13,21,0,2,peru
5,10,1,3,4,2,1,4,0,red
8,16,2,2,2,5,2,11,1,dodgerblue
0,2,0,0,1,0,0,2,0,red
4,9,3,3,4,0,4,3,0,red
1,1,0,0,1,8,0,0,0,red
1,2,0,1,1,0,1,2,0,red
12,18,2,5,2,5,6,10,1,dodgerblue
28,33,4,20,10,16,17,11,1,dodgerblue
0,2,0,0,1,0,0,2,0,red
8,10,2,6,2,4,4,1,0,red
0,2,0,0,0,0,0,0,0,red
1,3,0,0,1,0,1,0,0,red
9,7,4,4,0,6,3,7,1,dodgerblue
3,1,2,4,1,1,1,1,0,red
4,4,1,2,1,1,1,2,0,red
10,9,3,3,1,2,3,2,0,red
1,4,1,1,1,2,0,2,0,red
0,1,1,1,1,0,0,1,0,red
9,9,6,9,3,3,5,7,1,dodgerblue
2,5,0,2,0,1,1,1,0,red
5,6,4,3,1,1,0,8,0,red
0,2,0,0,0,1,0,2,0,red
19,15,10,10,1,2,0,2,1,dodgerblue
26,47,2,19,5,10,9,13,1,dodgerblue
1,2,0,1,1,0,1,2,0,red
0,2,0,0,1,0,0,1,0,red
0,5,0,1,0,0,2,2,0,red
4,7,0,1,0,1,2,5,0,red
0,2,0,0,1,0,0,2,0,red
1,0,0,0,2,1,0,0,0,red
18,12,4,7,9,17,4,3,1,dodgerblue
5,8,0,5,1,2,1,2,0,red
0,3,0,1,0,0,1,0,0,red
4,4,1,2,0,2,0,1,0,red
2,8,2,2,1,1,1,8,0,red
2,0,2,2,1,1,2,0,0,red
12,25,2,5,2,3,2,10,1,dodgerblue
0,2,0,0,0,0,0,1,0,red
1,5,2,2,1,0,2,4,0,red
4,6,0,0,1,3,1,4,0,red
1,4,0,0,1,0,0,2,0,red
1,0,0,0,2,2,0,0,0,red
2,4,1,1,0,1,1,3,0,red
2,3,1,1,2,1,1,2,0,red
13,5,4,10,2,3,6,0,0,red
1,2,1,2,0,0,0,1,0,red
0,2,0,0,1,0,0,2,0,red
0,2,0,0,1,0,0,2,0,red
3,4,1,1,1,2,1,0,0,red
2,3,0,2,1,1,1,1,0,red
1,3,0,0,3,0,1,4,0,red
26,10,10,8,7,3,2,1,1,dodgerblue
0,2,0,0,0,1,0,2,0,red
1,0,0,0,1,1,1,1,0,red
1,5,0,0,1,0,0,2,0,red
1,1,0,0,1,1,0,1,0,red
1,1,1,0,2,0,0,2,0,red
1,2,0,0,0,0,1,2,0,red
0,2,0,0,0,0,0,2,0,red
0,2,0,0,1,0,0,1,0,red
0,2,0,0,1,0,0,2,0,red
4,6,1,5,1,0,2,2,0,red
0,4,0,1,1,0,3,5,0,red
1,3,0,1,1,0,2,3,0,red
5,20,3,9,1,2,7,8,1,dodgerblue
0,2,0,0,0,0,0,1,0,red
0,2,0,0,1,0,0,1,0,red
2,4,1,1,1,0,3,2,0,red
2,3,1,1,0,1,1,2,0,red
1,3,1,2,0,0,2,1,0,red
0,3,0,0,0,0,0,0,0,red
0,2,0,1,0,0,0,1,0,red
27,47,1,18,10,7,7,2,1,dodgerblue
7,13,3,5,2,8,5,5,1,dodgerblue
0,2,0,1,0,0,0,0,0,red
1,1,0,0,1,1,0,1,0,red
3,1,1,2,1,3,1,2,0,red
2,5,1,1,0,1,1,1,0,red
10,7,5,5,3,3,2,3,0,red
1,2,0,1,0,1,0,1,0,red
2,5,0,1,1,1,1,1,0,red
5,9,1,3,2,1,3,3,0,red
18,15,6,11,2,4,6,11,1,dodgerblue
7,14,0,6,2,0,4,3,0,red
6,9,1,2,0,1,2,7,0,red
1,6,1,1,0,2,3,5,0,red
1,1,1,1,2,1,1,2,0,red
7,14,0,10,6,4,8,0,0,red
6,6,1,2,1,2,1,6,0,red
0,3,0,0,0,0,0,1,0,red
0,2,0,0,1,0,0,2,0,red
0,3,0,0,0,0,0,0,0,red
2,5,0,1,1,1,3,6,0,red
1,7,0,2,3,1,1,2,0,red
3,14,3,3,3,1,5,6,0,red
7,14,1,3,1,3,2,11,0,red
0,2,0,0,1,0,0,2,0,red
6,9,3,3,0,2,4,9,0,red
1,6,1,2,2,0,0,1,0,red
5,2,2,1,0,3,3,0,0,red
2,4,1,0,1,3,1,1,0,red
3,7,0,1,2,1,1,3,0,red
4,6,0,4,0,2,1,1,0,red
34,22,10,20,5,10,5,1,1,dodgerblue
2,9,1,3,2,3,2,4,0,red
0,2,0,0,1,0,0,2,0,red
0,9,0,5,2,2,0,3,0,red
3,4,2,0,1,1,0,4,0,red
0,0,0,0,2,2,1,0,0,red
2,2,0,2,1,0,2,1,0,red
2,4,1,3,0,0,1,1,0,red
33,40,8,17,8,8,13,9,1,dodgerblue
0,5,0,0,1,1,0,4,0,red
1,3,0,0,1,0,0,3,0,red
2,4,0,1,1,2,1,3,0,red
1,2,1,1,1,0,0,2,0,red
13,19,4,5,5,5,7,4,1,dodgerblue
4,5,2,1,0,1,0,6,0,red
2,2,1,1,0,1,0,2,0,red
1,2,0,0,1,1,0,2,0,red
0,2,0,2,0,0,0,0,0,red
5,7,0,2,3,1,3,2,0,red
2,5,0,0,1,1,0,2,0,red
2,10,1,2,0,0,1,5,0,red
2,5,1,3,2,0,2,2,0,red
0,2,1,1,1,0,1,2,0,red
18,18,5,4,17,8,5,2,1,dodgerblue
5,2,0,0,5,8,2,0,0,red
8,18,1,10,2,6,3,6,1,dodgerblue
5,8,1,5,1,3,2,5,0,red
0,4,0,1,0,1,0,1,0,red
1,4,0,2,1,0,2,4,0,red
1,3,0,0,0,1,0,3,0,red
3,7,1,1,1,1,0,6,0,red
9,19,2,7,2,3,7,10,1,dodgerblue
1,5,0,1,2,0,2,1,0,red
3,5,0,2,0,0,1,0,0,red
3,1,1,1,0,4,0,1,0,red
3,2,1,3,0,1,0,1,0,red
11,10,1,2,3,2,3,8,0,red
15,23,1,11,5,7,4,5,1,dodgerblue
1,1,1,0,2,0,0,1,0,red
2,5,1,3,1,1,3,2,0,red
24,21,7,11,5,9,8,13,1,dodgerblue
2,2,0,0,1,0,1,1,0,red
41,42,12,18,6,12,15,20,1,dodgerblue
6,13,1,10,1,0,5,1,0,red
1,2,0,0,0,0,1,0,0,red
15,21,4,9,2,5,4,7,1,dodgerblue
22,25,6,13,4,4,7,13,1,dodgerblue
0,4,0,0,0,0,0,0,0,red
1,5,1,3,0,0,2,3,0,red
1,1,0,0,4,1,1,0,0,red
5,4,1,2,1,2,0,3,0,red
0,2,0,0,1,0,0,2,0,red
17,16,3,9,7,7,4,3,1,dodgerblue
0,1,1,0,1,0,0,0,0,red
6,4,0,1,10,4,6,7,0,red
0,2,0,0,0,0,0,1,0,red
0,7,0,1,1,1,0,3,0,red
5,11,2,3,3,3,0,7,0,red
0,2,0,0,1,0,0,2,0,red
9,8,1,6,2,1,5,2,0,red
3,5,1,2,2,0,2,3,0,red
